Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
NEDwoodDoor_oldWoodDoor_Clean,blocks,block,,,Wood Door (Clean),,Holztür (Clean),Puerta de madera (Clean),Porte en bois (Clean),Porta di legno (Clean),木製ドア (Clean),목재 문 (Clean),Drewniane drzwi (Clean),Porta de madeira (Clean),Деревянная дверь (Clean),Tahta Kapı,木门 (Clean),木門 (Clean)
NEDwoodDoor_oldWoodDoorDouble_Clean,blocks,block,,,Wood Double Door (Clean),,Holzdoppeltür (Clean),Puerta de madera doble (Clean),Double porte en bois (Clean),Porta di legno doppia (Clean),木製ドア（ダブル） (Clean),목재 더블 문 (Clean),Drewniane drzwi – podwójne (Clean),Porta dupla de madeira (Clean),Двойная деревянная дверь (Clean),Çift Kanatlı Tahta Kapı,双开木门 (Clean),雙木門 (Clean)
NEDwoodDoor_ironDoorWhite_Clean,blocks,block,,,White Iron Door (Clean),,Weiße Eisentür (Clean),Puerta de hierro blanca (Clean),Porte en fer blanche (Clean),Porta di ferro bianca (Clean),鉄製ドア（白） (Clean),흰색 철제 문 (Clean),Żelazne drzwi – białe (Clean),Porta de ferro branca (Clean),Белая железная дверь (Clean),Beyaz Demir Kapı,白色铁门 (Clean),白色鐵門 (Clean)
NEDwoodDoor_ironDoorBrown_Clean,blocks,block,,,Brown Iron Door (Clean),,Braune Eisentür (Clean),Puerta de hierro marrón (Clean),Porte en fer marron (Clean),Porta di ferro marrone (Clean),鉄製ドア（茶色） (Clean),갈색 철제 문 (Clean),Żelazne drzwi – brązowe (Clean),Porta de ferro marrom (Clean),Коричневая железная дверь (Clean),Kahverengi Demir Kapı,棕色铁门 (Clean),棕色鐵門 (Clean)
NEDwoodDoor_ironDoorRed_Clean,blocks,block,,,Red Iron Door (Clean),,Rote Eisentür (Clean),Puerta de hierro roja (Clean),Porte en fer rouge (Clean),Porta di ferro rossa (Clean),鉄製ドア（赤） (Clean),빨간색 철제 문 (Clean),Żelazne drzwi – czerwone (Clean),Porta de ferro vermelha (Clean),Красная железная дверь (Clean),Kırmızı Demir Kapı,红色铁门 (Clean),紅色鐵門 (Clean)
NEDwoodDoor_ironDoorOrange_Clean,blocks,block,,,Orange Iron Door (Clean),,Orangefarbene Eisentür (Clean),Puerta de hierro naranja (Clean),Porte en fer orange (Clean),Porta di ferro arancione (Clean),鉄製ドア（橙） (Clean),주황색 철제 문 (Clean),Żelazne drzwi – pomarańczowe (Clean),Porta de ferro laranja (Clean),Оранжевая железная дверь (Clean),Turuncu Demir Kapı,橙色铁门 (Clean),橘色鐵門 (Clean)
NEDwoodDoor_ironDoorYellow_Clean,blocks,block,,,Yellow Iron Door (Clean),,Gelbe Eisentür (Clean),Puerta de hierro amarilla (Clean),Porte en fer jaune (Clean),Porta di ferro gialla (Clean),鉄製ドア（黄色） (Clean),노란색 철제 문 (Clean),Żelazne drzwi – żółte (Clean),Porta de ferro amarela (Clean),Желтая железная дверь (Clean),Sarı Demir Kapı,黄色铁门 (Clean),黃色鐵門 (Clean)
NEDwoodDoor_ironDoorGreen_Clean,blocks,block,,,Green Iron Door (Clean),,Grüne Eisentür (Clean),Puerta de hierro verde (Clean),Porte en fer verte (Clean),Porta di ferro verde (Clean),鉄製ドア（緑） (Clean),녹색 철제 문 (Clean),Żelazne drzwi – zielone (Clean),Porta de ferro verde (Clean),Зеленая железная дверь (Clean),Yeşil Demir Kapı,绿色铁门 (Clean),綠色鐵門 (Clean)
NEDwoodDoor_ironDoorBlue_Clean,blocks,block,,,Blue Iron Door (Clean),,Blaue Eisentür (Clean),Puerta de hierro azul (Clean),Porte en fer bleue (Clean),Porta di ferro blu (Clean),鉄製ドア（青） (Clean),파란색 철제 문 (Clean),Żelazne drzwi – niebieskie (Clean),Porta de ferro azul (Clean),Синяя железная дверь (Clean),Mavi Demir Kapı,蓝色铁门 (Clean),藍色鐵門 (Clean)
NEDwoodDoor_ironDoorPurple_Clean,blocks,block,,,Purple Iron Door (Clean),,Lilafarbene Eisentür (Clean),Puerta de hierro violeta (Clean),Porte en fer violette (Clean),Porta di ferro viola (Clean),鉄製ドア（紫） (Clean),보라색 철제 문 (Clean),Żelazne drzwi – fioletowe (Clean),Porta de ferro roxa (Clean),Фиолетовая железная дверь (Clean),Mor Demir Kapı,紫色铁门 (Clean),紫色鐵門 (Clean)
NEDwoodDoor_ironDoorGrey_Clean,blocks,block,,,Grey Iron Door (Clean),,Graue Eisentür (Clean),Puerta de hierro gris (Clean),Porte en fer grise (Clean),Porta di ferro grigia (Clean),鉄製ドア（灰色） (Clean),회색 철제 문 (Clean),Żelazne drzwi – szare (Clean),Porta de ferro cinza (Clean),Серая железная дверь (Clean),Gri Demir Kapı,灰色铁门 (Clean),灰色鐵門 (Clean)
NEDwoodDoor_ironDoorBlack_Clean,blocks,block,,,Black Iron Door (Clean),,Schwarze Eisentür (Clean),Puerta de hierro negra (Clean),Porte en fer noire (Clean),Porta di ferro nera (Clean),鉄製ドア（黒） (Clean),검정색 철제 문 (Clean),Żelazne drzwi – czarne (Clean),Porta de ferro preta (Clean),Черная железная дверь (Clean),Siyah Demir Kapı,黑色铁门 (Clean),黑色鐵門 (Clean)
NEDwoodDoor_ironDoorPink_Clean,blocks,block,,,Pink Iron Door (Clean),,Rosafarbene Eisentür (Clean),Puerta de hierro rosa (Clean),Porte en fer rose (Clean),Porta di ferro rosa (Clean),鉄製ドア（ピンク） (Clean),분홍색 철제 문 (Clean),Żelazne drzwi – różowe (Clean),Porta de ferro rosa (Clean),Розовая железная дверь (Clean),Pembe Demir Kapı,粉色铁门 (Clean),粉紅色鐵門 (Clean)
NEDwoodDoor_ironDoorArmyGreen_Clean,blocks,block,,,Army Green Iron Door (Clean),,Armeegrüne Eisentür (Clean),Puerta de hierro verde militar (Clean),Porte en fer kaki (Clean),Porta di ferro verde militare (Clean),鉄製ドア（アーミーグリーン） (Clean),아미 녹색 철제 문 (Clean),Żelazne drzwi – moro (Clean),Porta de ferro verde-militar (Clean),Железная дверь цвета хаки (Clean),Askeri Yeşil Demir Kapı,军绿色铁门 (Clean),軍綠色鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleWhite_Clean,blocks,block,,,White Iron Door Double (Clean),,Weiße Eisendoppeltür (Clean),Puerta de hierro doble blanca (Clean),Double porte en fer blanche (Clean),Porta di ferro doppia bianca (Clean),鉄製ドア（白・ダブル） (Clean),흰색 철제 문 더블 (Clean),"Żelazne drzwi – białe, podwójne (Clean)",Porta de ferro dupla branca (Clean),Белая двойная железная дверь (Clean),Çift Kanatlı Beyaz Demir Kapı,白色双开铁门 (Clean),白色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleBrown_Clean,blocks,block,,,Brown Iron Door Double (Clean),,Braune Eisendoppeltür (Clean),Puerta de hierro doble marrón (Clean),Double porte en fer marron (Clean),Porta di ferro doppia marrone (Clean),鉄製ドア（茶色・ダブル） (Clean),갈색 철제 문 더블 (Clean),"Żelazne drzwi – brązowe, podwójne (Clean)",Porta de ferro dupla marrom (Clean),Коричневая двойная железная дверь (Clean),Çift Kanatlı Kahverengi Demir Kapı,棕色双开铁门 (Clean),棕色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleRed_Clean,blocks,block,,,Red Iron Door Double (Clean),,Rote Eisendoppeltür (Clean),Puerta de hierro doble roja (Clean),Double porte en fer rouge (Clean),Porta di ferro doppia rossa (Clean),鉄製ドア（赤・ダブル） (Clean),빨간색 철제 문 더블 (Clean),"Żelazne drzwi – czerwone, podwójne (Clean)",Porta de ferro dupla vermelha (Clean),Красная двойная железная дверь (Clean),Çift Kanatlı Kırmızı Demir Kapı,红色双开铁门 (Clean),紅色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleOrange_Clean,blocks,block,,,Orange Iron Door Double (Clean),,Orangefarbene Eisendoppeltür (Clean),Puerta de hierro doble naranja (Clean),Double porte en fer orange (Clean),Porta di ferro doppia arancione (Clean),鉄製ドア（橙・ダブル） (Clean),주황색 철제 문 더블 (Clean),"Żelazne drzwi – pomarańczowe, podwójne (Clean)",Porta de ferro dupla laranja (Clean),Оранжевая двойная железная дверь (Clean),Çift Kanatlı Turuncu Demir Kapı,橙色双开铁门 (Clean),橘色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleYellow_Clean,blocks,block,,,Yellow Iron Door Double (Clean),,Gelbe Eisendoppeltür (Clean),Puerta de hierro doble amarilla (Clean),Double porte en fer jaune (Clean),Porta di ferro doppia gialla (Clean),鉄製ドア（黄色・ダブル） (Clean),노란색 철제 문 더블 (Clean),"Żelazne drzwi – żółte, podwójne (Clean)",Porta de ferro dupla amarela (Clean),Желтая двойная железная дверь (Clean),Çift Kanatlı Sarı Demir Kapı,黄色双开铁门 (Clean),黃色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleGreen_Clean,blocks,block,,,Green Iron Door Double (Clean),,Grüne Eisendoppeltür (Clean),Puerta de hierro doble verde (Clean),Double porte en fer verte (Clean),Porta di ferro doppia verde (Clean),鉄製ドア（緑・ダブル） (Clean),녹색 철제 문 더블 (Clean),"Żelazne drzwi – zielone, podwójne (Clean)",Porta de ferro dupla verde (Clean),Зеленая двойная железная дверь (Clean),Çift Kanatlı Yeşil Demir Kapı,绿色双开铁门 (Clean),綠色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleBlue_Clean,blocks,block,,,Blue Iron Door Double (Clean),,Blaue Eisendoppeltür (Clean),Puerta de hierro doble azul (Clean),Double porte en fer bleue (Clean),Porta di ferro doppia blu (Clean),鉄製ドア（青・ダブル） (Clean),파란색 철제 문 더블 (Clean),"Żelazne drzwi – niebieskie, podwójne (Clean)",Porta de ferro dupla azul (Clean),Синяя двойная железная дверь (Clean),Çift Kanatlı Mavi Demir Kapı,蓝色双开铁门 (Clean),藍色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoublePurple_Clean,blocks,block,,,Purple Iron Door Double (Clean),,Lilafarbene Eisendoppeltür (Clean),Puerta de hierro doble violeta (Clean),Double porte en fer violette (Clean),Porta di ferro doppia viola (Clean),鉄製ドア（紫・ダブル） (Clean),보라색 철제 문 더블 (Clean),"Żelazne drzwi – fioletowe, podwójne (Clean)",Porta de ferro dupla roxa (Clean),Фиолетовая двойная железная дверь (Clean),Çift Kanatlı Mor Demir Kapı,紫色双开铁门 (Clean),紫色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleGrey_Clean,blocks,block,,,Grey Iron Door Double (Clean),,Graue Eisendoppeltür (Clean),Puerta de hierro doble gris (Clean),Double porte en fer grise (Clean),Porta di ferro doppia grigia (Clean),鉄製ドア（灰色・ダブル） (Clean),회색 철제 문 더블 (Clean),"Żelazne drzwi – szare, podwójne (Clean)",Porta de ferro dupla cinza (Clean),Серая двойная железная дверь (Clean),Çift Kanatlı Gri Demir Kapı,灰色双开铁门 (Clean),灰色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleBlack_Clean,blocks,block,,,Black Iron Door Double (Clean),,Schwarze Eisendoppeltür (Clean),Puerta de hierro doble negra (Clean),Double porte en fer noire (Clean),Porta di ferro doppia nera (Clean),鉄製ドア（黒・ダブル） (Clean),검정색 철제 문 더블 (Clean),"Żelazne drzwi – czarne, podwójne (Clean)",Porta de ferro dupla preta (Clean),Черная двойная железная дверь (Clean),Çift Kanatlı Siyah Demir Kapı,黑色双开铁门 (Clean),黑色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoublePink_Clean,blocks,block,,,Pink Iron Door Double (Clean),,Rosafarbene Eisendoppeltür (Clean),Puerta de hierro doble rosa (Clean),Double porte en fer rose (Clean),Porta di ferro doppia rosa (Clean),鉄製ドア（ピンク・ダブル） (Clean),분홍색 철제 문 더블 (Clean),"Żelazne drzwi – różowe, podwójne (Clean)",Porta de ferro dupla rosa (Clean),Розовая двойная железная дверь (Clean),Çift Kanatlı Pembe Demir Kapı,粉色双开铁门 (Clean),粉紅色雙鐵門 (Clean)
NEDwoodDoor_ironDoorDoubleArmyGreen_Clean,blocks,block,,,Army Green Iron Door Double (Clean),,Armeegrüne Eisendoppeltür (Clean),Puerta de hierro doble verde militar (Clean),Double porte en fer kaki (Clean),Porta di ferro doppia verde militare (Clean),鉄製ドア（アーミーグリーン・ダブル） (Clean),아미 녹색 철제 문 더블 (Clean),"Żelazne drzwi – moro, podwójne (Clean)",Porta de ferro dupla verde-militar (Clean),Двойная железная дверь цвета хаки (Clean),Çift Kanatlı Askeri Yeşil Demir Kapı,军绿色双开铁门 (Clean),軍綠色雙鐵門 (Clean)
NEDwoodDoor_exteriorHouseDoorWhite_Clean,blocks,block,,,White Exterior House Door (Clean),,"Weiße Tür, Hausaußenseite (Clean)",Puerta exterior de la casa blanca (Clean),"Porte, extérieur de maison, blanche (Clean)",Porta di casa esterna bianca (Clean),住宅用室外ドア（白） (Clean),흰색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – białe (Clean),Porta exterior de casa branca (Clean),Белая входная дверь (Clean),Beyaz Dış Ev Kapısı,白色室外门 (Clean),白色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorBrown_Clean,blocks,block,,,Brown Exterior House Door (Clean),,"Braune Tür, Hausaußenseite (Clean)",Puerta exterior de la casa marrón (Clean),"Porte, extérieur de maison, marron (Clean)",Porta di casa esterna marrone (Clean),住宅用室外ドア（茶） (Clean),갈색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – brązowe (Clean),Porta exterior de casa marrom (Clean),Коричневая входная дверь (Clean),Kahverengi Dış Ev Kapısı,棕色室外门 (Clean),棕色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorRed_Clean,blocks,block,,,Red Exterior House Door (Clean),,"Rote Tür, Hausaußenseite (Clean)",Puerta exterior de la casa roja (Clean),"Porte, extérieur de maison, rouge (Clean)",Porta di casa esterna rossa (Clean),住宅用室外ドア（赤） (Clean),빨간색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – czerwone (Clean),Porta exterior de casa vermelha (Clean),Красная входная дверь (Clean),Kırmızı Dış Ev Kapısı,红色室外门 (Clean),紅色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorOrange_Clean,blocks,block,,,Orange Exterior House Door (Clean),,"Orangefarbene Tür, Hausaußenseite (Clean)",Puerta exterior de la casa naranja (Clean),"Porte, extérieur de maison, orange (Clean)",Porta di casa esterna arancione (Clean),住宅用室外ドア（橙） (Clean),주황색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – pomarańczowe (Clean),Porta exterior de casa laranja (Clean),Оранжевая входная дверь (Clean),Turuncu Dış Ev Kapısı,橙色室外门 (Clean),橘色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorYellow_Clean,blocks,block,,,Yellow Exterior House Door (Clean),,"Gelbe Tür, Hausaußenseite (Clean)",Puerta exterior de la casa amarilla (Clean),"Porte, extérieur de maison, jaune (Clean)",Porta di casa esterna gialla (Clean),住宅用室外ドア（黄） (Clean),노란색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – żółte (Clean),Porta exterior de casa amarela (Clean),Желтая входная дверь (Clean),Sarı Dış Ev Kapısı,黄色室外门 (Clean),黃色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorGreen_Clean,blocks,block,,,Green Exterior House Door (Clean),,"Grüne Tür, Hausaußenseite (Clean)",Puerta exterior de la casa verde (Clean),"Porte, extérieur de maison, verte (Clean)",Porta di casa esterna verde (Clean),住宅用室外ドア（緑） (Clean),녹색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – zielone (Clean),Porta exterior de casa verde (Clean),Зеленая входная дверь (Clean),Yeşil Dış Ev Kapısı,绿色室外门 (Clean),綠色室外房屋門 (Clean)
NEDwoodDoor_exteriorHouseDoorBlue_Clean,blocks,block,,,Blue Exterior House Door (Clean),,"Blaue Tür, Hausaußenseite (Clean)",Puerta exterior de la casa azul (Clean),"Porte, extérieur de maison, bleue (Clean)",Porta di casa esterna blu (Clean),住宅用室外ドア（青） (Clean),파란색 외부 집 문 (Clean),Zewnętrzne drzwi do domu – niebieskie (Clean),Porta exterior de casa azul (Clean),Синяя входная дверь (Clean),Mavi Dış Ev Kapısı,蓝色室外门 (Clean),藍色室外房屋門 (Clean)
