Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
NEDwoodDoor_oldWoodDoor,blocks,block,,,Wood Door,,Holztür,Puerta de madera,Porte en bois,Porta di legno,木製ドア,목재 문,Drewniane drzwi,Porta de madeira,Деревянная дверь,Tahta Kapı,木门,木門
NEDwoodDoor_oldWoodDoorDouble,blocks,block,,,Wood Double Door,,Holzdoppeltür,Puerta de madera doble,Double porte en bois,Porta di legno doppia,木製ドア（ダブル）,목재 더블 문,Drewniane drzwi – podwójne,Porta dupla de madeira,Двойная деревянная дверь,Çift Kanatlı Tahta Kapı,双开木门,雙木門
NEDwoodDoor_ironDoorWhite,blocks,block,,,White Iron Door,,Weiße Eisentür,Puerta de hierro blanca,Porte en fer blanche,Porta di ferro bianca,鉄製ドア（白）,흰색 철제 문,Żelazne drzwi – białe,Porta de ferro branca,Белая железная дверь,Beyaz Demir Kapı,白色铁门,白色鐵門
NEDwoodDoor_ironDoorBrown,blocks,block,,,Brown Iron Door,,Braune Eisentür,Puerta de hierro marrón,Porte en fer marron,Porta di ferro marrone,鉄製ドア（茶色）,갈색 철제 문,Żelazne drzwi – brązowe,Porta de ferro marrom,Коричневая железная дверь,Kahverengi Demir Kapı,棕色铁门,棕色鐵門
NEDwoodDoor_ironDoorRed,blocks,block,,,Red Iron Door,,Rote Eisentür,Puerta de hierro roja,Porte en fer rouge,Porta di ferro rossa,鉄製ドア（赤）,빨간색 철제 문,Żelazne drzwi – czerwone,Porta de ferro vermelha,Красная железная дверь,Kırmızı Demir Kapı,红色铁门,紅色鐵門
NEDwoodDoor_ironDoorOrange,blocks,block,,,Orange Iron Door,,Orangefarbene Eisentür,Puerta de hierro naranja,Porte en fer orange,Porta di ferro arancione,鉄製ドア（橙）,주황색 철제 문,Żelazne drzwi – pomarańczowe,Porta de ferro laranja,Оранжевая железная дверь,Turuncu Demir Kapı,橙色铁门,橘色鐵門
NEDwoodDoor_ironDoorYellow,blocks,block,,,Yellow Iron Door,,Gelbe Eisentür,Puerta de hierro amarilla,Porte en fer jaune,Porta di ferro gialla,鉄製ドア（黄色）,노란색 철제 문,Żelazne drzwi – żółte,Porta de ferro amarela,Желтая железная дверь,Sarı Demir Kapı,黄色铁门,黃色鐵門
NEDwoodDoor_ironDoorGreen,blocks,block,,,Green Iron Door,,Grüne Eisentür,Puerta de hierro verde,Porte en fer verte,Porta di ferro verde,鉄製ドア（緑）,녹색 철제 문,Żelazne drzwi – zielone,Porta de ferro verde,Зеленая железная дверь,Yeşil Demir Kapı,绿色铁门,綠色鐵門
NEDwoodDoor_ironDoorBlue,blocks,block,,,Blue Iron Door,,Blaue Eisentür,Puerta de hierro azul,Porte en fer bleue,Porta di ferro blu,鉄製ドア（青）,파란색 철제 문,Żelazne drzwi – niebieskie,Porta de ferro azul,Синяя железная дверь,Mavi Demir Kapı,蓝色铁门,藍色鐵門
NEDwoodDoor_ironDoorPurple,blocks,block,,,Purple Iron Door,,Lilafarbene Eisentür,Puerta de hierro violeta,Porte en fer violette,Porta di ferro viola,鉄製ドア（紫）,보라색 철제 문,Żelazne drzwi – fioletowe,Porta de ferro roxa,Фиолетовая железная дверь,Mor Demir Kapı,紫色铁门,紫色鐵門
NEDwoodDoor_ironDoorGrey,blocks,block,,,Grey Iron Door,,Graue Eisentür,Puerta de hierro gris,Porte en fer grise,Porta di ferro grigia,鉄製ドア（灰色）,회색 철제 문,Żelazne drzwi – szare,Porta de ferro cinza,Серая железная дверь,Gri Demir Kapı,灰色铁门,灰色鐵門
NEDwoodDoor_ironDoorBlack,blocks,block,,,Black Iron Door,,Schwarze Eisentür,Puerta de hierro negra,Porte en fer noire,Porta di ferro nera,鉄製ドア（黒）,검정색 철제 문,Żelazne drzwi – czarne,Porta de ferro preta,Черная железная дверь,Siyah Demir Kapı,黑色铁门,黑色鐵門
NEDwoodDoor_ironDoorPink,blocks,block,,,Pink Iron Door,,Rosafarbene Eisentür,Puerta de hierro rosa,Porte en fer rose,Porta di ferro rosa,鉄製ドア（ピンク）,분홍색 철제 문,Żelazne drzwi – różowe,Porta de ferro rosa,Розовая железная дверь,Pembe Demir Kapı,粉色铁门,粉紅色鐵門
