Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
NEDwoodGate_doorWoodLargeGate,blocks,block,,,Large Wood Gate,,Großes Holztor,Puerta de madera grande,Grand portail en bois,Cancello di legno grande,木製ゲート（大）,대형 목재 문,Drewniana brama – duża,Portão de madeira grande,Большие деревянные ворота,Büyük Tahta Kapı,大木门,大型木門
NEDwoodGate_chainlinkGateDoubleWide,blocks,block,,,Chain Link Gate Double Wide,,"Kettengliedtor – doppelt, breit",Puerta de alambre doble amplia,"Portail en grillage, double, large",Pannello in rete doppio grande,チェーンリンク（ゲート・ダブル・幅広）,체인 링크 문 더블 넓음,"Siatka stalowa — bramka, podwójna, szeroka",Portão de elo de corrente duplo largo,Широкие двойные ворота из сетки-рабицы,"Çift Kanatlı Tel Örgü Kapı, Geniş",双开链条门 宽,寬鍊條雙門
NEDwoodGate_chainlinkGateDouble,blocks,block,,,Chain Link Gate Double,,Kettengliedtor – doppelt,Puerta de alambre doble,"Portail en grillage, double",Pannello in rete doppio,チェーンリンク（ゲート・ダブル）,체인 링크 문 더블,"Siatka stalowa — bramka, podwójna",Portão de elo de corrente duplo,Двойные ворота из сетки-рабицы,Çift Kanatlı Tel Örgü Kapı,双开链条门,鍊條雙門
NEDironGate_doorWoodLargeGate,blocks,block,,,Large Wood Gate,,Großes Holztor,Puerta de madera grande,Grand portail en bois,Cancello di legno grande,木製ゲート（大）,대형 목재 문,Drewniana brama – duża,Portão de madeira grande,Большие деревянные ворота,Büyük Tahta Kapı,大木门,大型木門
NEDironGate_chainlinkGateDoubleWide,blocks,block,,,Chain Link Gate Double Wide,,"Kettengliedtor – doppelt, breit",Puerta de alambre doble amplia,"Portail en grillage, double, large",Pannello in rete doppio grande,チェーンリンク（ゲート・ダブル・幅広）,체인 링크 문 더블 넓음,"Siatka stalowa — bramka, podwójna, szeroka",Portão de elo de corrente duplo largo,Широкие двойные ворота из сетки-рабицы,"Çift Kanatlı Tel Örgü Kapı, Geniş",双开链条门 宽,寬鍊條雙門
NEDironGate_chainlinkGateDouble,blocks,block,,,Chain Link Gate Double,,Kettengliedtor – doppelt,Puerta de alambre doble,"Portail en grillage, double",Pannello in rete doppio,チェーンリンク（ゲート・ダブル）,체인 링크 문 더블,"Siatka stalowa — bramka, podwójna",Portão de elo de corrente duplo,Двойные ворота из сетки-рабицы,Çift Kanatlı Tel Örgü Kapı,双开链条门,鍊條雙門
NEDsteelGate_doorWoodLargeGate,blocks,block,,,Large Wood Gate,,Großes Holztor,Puerta de madera grande,Grand portail en bois,Cancello di legno grande,木製ゲート（大）,대형 목재 문,Drewniana brama – duża,Portão de madeira grande,Большие деревянные ворота,Büyük Tahta Kapı,大木门,大型木門
NEDsteelGate_chainlinkGateDoubleWide,blocks,block,,,Chain Link Gate Double Wide,,"Kettengliedtor – doppelt, breit",Puerta de alambre doble amplia,"Portail en grillage, double, large",Pannello in rete doppio grande,チェーンリンク（ゲート・ダブル・幅広）,체인 링크 문 더블 넓음,"Siatka stalowa — bramka, podwójna, szeroka",Portão de elo de corrente duplo largo,Широкие двойные ворота из сетки-рабицы,"Çift Kanatlı Tel Örgü Kapı, Geniş",双开链条门 宽,寬鍊條雙門
NEDsteelGate_chainlinkGateDouble,blocks,block,,,Chain Link Gate Double,,Kettengliedtor – doppelt,Puerta de alambre doble,"Portail en grillage, double",Pannello in rete doppio,チェーンリンク（ゲート・ダブル）,체인 링크 문 더블,"Siatka stalowa — bramka, podwójna",Portão de elo de corrente duplo,Двойные ворота из сетки-рабицы,Çift Kanatlı Tel Örgü Kapı,双开链条门,鍊條雙門
NEDsteel_PoweredGate_doorWoodLargeGate,blocks,block,,,Large Wood Gate,,Großes Holztor,Puerta de madera grande,Grand portail en bois,Cancello di legno grande,木製ゲート（大）,대형 목재 문,Drewniana brama – duża,Portão de madeira grande,Большие деревянные ворота,Büyük Tahta Kapı,大木门,大型木門
NEDsteel_PoweredGate_chainlinkGateDoubleWide,blocks,block,,,Chain Link Gate Double Wide,,"Kettengliedtor – doppelt, breit",Puerta de alambre doble amplia,"Portail en grillage, double, large",Pannello in rete doppio grande,チェーンリンク（ゲート・ダブル・幅広）,체인 링크 문 더블 넓음,"Siatka stalowa — bramka, podwójna, szeroka",Portão de elo de corrente duplo largo,Широкие двойные ворота из сетки-рабицы,"Çift Kanatlı Tel Örgü Kapı, Geniş",双开链条门 宽,寬鍊條雙門
NEDsteel_PoweredGate_chainlinkGateDouble,blocks,block,,,Chain Link Gate Double,,Kettengliedtor – doppelt,Puerta de alambre doble,"Portail en grillage, double",Pannello in rete doppio,チェーンリンク（ゲート・ダブル）,체인 링크 문 더블,"Siatka stalowa — bramka, podwójna",Portão de elo de corrente duplo,Двойные ворота из сетки-рабицы,Çift Kanatlı Tel Örgü Kapı,双开链条门,鍊條雙門
NEDwoodGateBlockVariantHelper,blocks,Variant,,,Wood Gate,,,,,,,,,,,,,
NEDironGateBlockVariantHelper,blocks,Variant,,,Iron Gate,,,,,,,,,,,,,
NEDsteelGateBlockVariantHelper,blocks,Variant,,,Steel Gate,,,,,,,,,,,,,
NEDsteel_PoweredGateBlockVariantHelper,blocks,Variant,,,Steel Gate (Powered),,,,,,,,,,,,,
NEDwoodGateBlockVariantHelperDesc,,,,,Can be placed.\nUse the reload action and radial menu to select a color or design when placing.\nPress & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination.\nRepair with Wood and a construction tool.\nCan be upgraded with an Iron Gate.,,,,,,,,,,,,,
NEDironGateBlockVariantHelperDesc,,,,,Can be placed or used to upgrade a Wood Gate.\nUse the reload action and radial menu to select a color or design when placing.\nPress & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination.\nRepair with Forged Iron and a construction tool.\nCan be upgraded with a Steel Gate.,,,,,,,,,,,,,
NEDsteelGateBlockVariantHelperDesc,,,,,Can be placed or used to upgrade an Iron Gate.\nUse the reload action and radial menu to select a color or design when placing.\nPress & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination.\nRepair with Forged Steel and a construction tool.,,,,,,,,,,,,,
NEDsteel_PoweredGateBlockVariantHelperDesc,,,,,Can be placed.\nUse the reload action and radial menu to select a color or design when placing.\nConnect to a power source to activate this gate.\nRepair with Forged Steel and a construction tool.,,,,,,,,,,,,,
